avg_6,avg_4,avg_bf,avg_sr,avg_mins,runs,mins,BF,4s,6s,SR,pos,dismissal,inns,opposition,ground,date,odi_id,player
0,0,0,0,0,0,-,3,0,0,0,3,caught,2,Kenya,Sharjah,02-Oct-13,ODI # 3417,Hashmatullah Shahidi
0,0,3,0,0,13,-,19,0,0,68.42,5,not out,2,Kenya,Sharjah,04-Oct-13,ODI # 3418,Hashmatullah Shahidi
0,0,11,0.590909091,0,38,-,67,4,0,56.71,4,not out,2,Hong Kong,Kuala Lumpur,01-May-14,ODI # 3487,Hashmatullah Shahidi
0,1.333333333,29.66666667,0.573033708,0,3,-,7,0,0,42.85,4,lbw,1,U.A.E.,Kuala Lumpur,02-May-14,ODI # 3488,Hashmatullah Shahidi
0,1,24,0.5625,0,15,21,22,2,0,68.18,4,caught,1,Zimbabwe,Bulawayo,18-Jul-14,ODI # 3503,Hashmatullah Shahidi
0,1.2,23.6,0.584745763,4.2,11,25,18,0,0,61.11,4,caught,1,Zimbabwe,Bulawayo,20-Jul-14,ODI # 3504,Hashmatullah Shahidi
0,1,22.66666667,0.588235294,7.666666667,3,-,14,0,0,21.42,5,caught,2,Zimbabwe,Sharjah,02-Jan-16,ODI # 3719,Hashmatullah Shahidi
0,0.857142857,21.42857143,0.553333333,7.666666667,31,-,67,2,0,46.26,6,lbw,2,Zimbabwe,Sharjah,04-Jan-16,ODI # 3720,Hashmatullah Shahidi
0,1,27.125,0.525345622,7.666666667,32,-,55,3,0,58.18,4,bowled,2,Zimbabwe,Sharjah,06-Jan-16,ODI # 3722,Hashmatullah Shahidi
0,1.222222222,30.22222222,0.536764706,7.666666667,72,147,110,6,0,65.45,4,caught,2,Bangladesh,Mirpur,25-Sep-16,ODI # 3781,Hashmatullah Shahidi
0,1.7,38.2,0.570680628,21.6,14,40,29,1,0,48.27,4,lbw,2,Bangladesh,Mirpur,28-Sep-16,ODI # 3783,Hashmatullah Shahidi
0,1.636363636,37.36363636,0.564476886,23.27272727,0,2,3,0,0,0,4,caught,2,Bangladesh,Mirpur,01-Oct-16,ODI # 3786,Hashmatullah Shahidi
0,1.5,34.5,0.560386473,21.5,21,55,44,1,0,47.72,5,run out,1,Zimbabwe,Harare,16-Feb-17,ODI # 3835,Hashmatullah Shahidi
